city,property_type,page_url,location,price,area,beds,baths
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_luxurious_and_designer_house_for_sale_in_dha_2-43065531-339-1.html,"DHA Defence Phase 2, DHA Defence",8.5 Crore,1 Kanal,5,6
Islamabad,House,zameen.com/Property/i_10_i_10_1_brand_new_house_for_sale_situated_in_i_10_1-42649929-3420-1.html,"I-10/1, I-10",4.3 Crore,6.7 Marla,5,5
Islamabad,House,zameen.com/Property/i_10_i_10_2_6_marla_sun_face_near_main_markaz_for_sale_best_for_living-43139516-3421-1.html,"I-10/2, I-10",3.05 Crore,6 Marla,4,4
Islamabad,House,zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_22_marla_defence_villas_for_urgent_sale-36415871-3075-1.html,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",5.3 Crore,1.1 Kanal,3,3
Islamabad,House,zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_corner_house_luxurious_villa_for_sale-36429721-3075-1.html,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",5.5 Crore,1 Kanal,3,5
Islamabad,House,zameen.com/Property/islamabad_f_8_f_8_main_margalla_road_house_for_sale-42611618-166-1.html,"F-8, Islamabad",85 Crore,4 Kanal,7,6
Islamabad,House,zameen.com/Property/g_15_g_15_1_end_your_search_for_corner_house_here_and_sale_now-42463225-3348-1.html,"G-15/1, G-15",2.5 Crore,8 Marla,5,5
Islamabad,House,zameen.com/Property/g_15_g_15_1_prime_location_1800_square_feet_spacious_house_is_available_in_g_15_1_for_sale-42463277-3348-1.html,"G-15/1, G-15",3 Crore,8 Marla,5,5
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_good_location_1_kanal_house_for_sale_in_dha_defence_phase_2-43147906-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_1_kanal_house_in_central_dha_defence_phase_2_for_sale-43147911-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_centrally_located_good_location_house_for_sale_in_dha_defence_phase_2_available-43147913-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_good_location_1_kanal_house_for_sale_in_dha_defence_phase_2-43147889-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_get_your_hands_on_good_location_house_in_islamabad_best_area-43147862-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_get_a_good_location_1_kanal_house_for_sale_in_dha_defence_phase_2-43147836-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_book_a_good_location_house_of_1_kanal_in_dha_defence_phase_2_islamabad-43147810-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_book_a_good_location_house_of_1_kanal_in_dha_defence_phase_2_islamabad-43147785-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_elegant_house_design_beautiful_1_kanal_new_house-42841145-339-1.html,"DHA Defence Phase 2, DHA Defence",10.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/kashmir_highway_eighteen_half_kanal_ready_villa_in_eighteen_islamabad-43032367-12602-1.html,"Eighteen, Kashmir Highway",5.75 Crore,10 Marla,6,6
Islamabad,House,zameen.com/Property/i_8_i_8_3_1_2_kanal_house_for_sale_in_i_8_3-42973076-3443-1.html,"I-8/3, I-8",17 Crore,1.2 Kanal,5,6
Islamabad,House,zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_g_beautiful_house_available_for_sale-42832381-3202-1.html,"DHA Phase 2 - Sector G, DHA Defence Phase 2",8.75 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_double_unit_house_best_location_dha_phase_2-42973611-339-1.html,"DHA Defence Phase 2, DHA Defence",7.5 Crore,1 Kanal,2,2
Islamabad,House,zameen.com/Property/dha_valley_dha_homes_05_marla_corner_house_available_for_sale_in_dha_valley_islamabad-42831654-3226-1.html,"DHA Homes, DHA Valley",66 Lakh,5 Marla,5,6
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_beautiful_designer_house_available_for_sale-41371850-11970-1.html,"Bahria Enclave - Sector A, Bahria Enclave",4.75 Crore,10 Marla,5,6
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_c3_brand_new_good_location_10_marla_luxurious_house_front_open_on_investor_price_-42491656-11989-1.html,"Bahria Enclave - Sector C3, Bahria Enclave",4 Crore,10 Marla,5,5
Islamabad,House,zameen.com/Property/islamabad_g_13_ideal_1800_square_feet_house_available_in_g_13__g_13-42193211-330-1.html,"G-13, Islamabad",4.9 Crore,8 Marla,5,5
Islamabad,House,zameen.com/Property/islamabad_g_13_ready_to_buy_a_house_1000_square_feet_in_g_13-43089750-330-1.html,"G-13, Islamabad",3.25 Crore,4.4 Marla,5,6
Islamabad,House,zameen.com/Property/i_11_i_11_1_brand_new_6_marla_full_covered_sun_face_double_storey_house_for_sale-43050270-9878-1.html,"I-11/1, I-11",4 Crore,6 Marla,5,6
Islamabad,House,zameen.com/Property/i_11_i_11_1_brand_new_6_marla_full_covered_sun_face_double_storey_house_for_sale-43050132-9878-1.html,"I-11/1, I-11",4 Crore,6 Marla,5,6
Islamabad,House,zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_brand_new_defence_villas_for_sale_d_h_a_f_sector_bahria_town_phase_8__islamabad-42647962-3075-1.html,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3.5 Crore,10 Marla,4,5
Islamabad,House,zameen.com/Property/g_13_g_13_1_brand_new_proper_corner_with_extra_land_good_location_25_x_40_house_for_sale_in_g_13_islamabad-43101172-3337-1.html,"G-13/1, G-13",3.3 Crore,4.4 Marla,4,5
